user,in_degree_cent,out_degree_cent,betweenness_centrality,eigen_vector_cent,katz_centrality
OLookItsThatGuyAgain,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
Murtank,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
bulaohu,0.007451564828614009,0.0,0.0,1.0861657372099698e-20,0.05051915995792842
diachi,0.0014903129657228018,0.0007451564828614009,5.556722467273683e-07,5.430828686042128e-21,0.028743140865027262
benweiser22,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
LeDoucheBaguette,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
sillandria,0.0007451564828614009,0.0007451564828614009,0.0,2.7366997239083465e-05,0.02704353204967747
WhynotstartnoW,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
niptits,0.0007451564828614009,0.0007451564828614009,7.779411454183156e-06,1.4571125037593655e-36,0.02608440033501224
earvid,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
spankaway,0.0007451564828614009,0.0014903129657228018,2.2226889869094732e-06,1.4571125037593655e-36,0.02608440033501224
SeekTruthFromFacts,0.0014903129657228018,0.0014903129657228018,2.2226889869094732e-06,7.241104914722841e-21,0.028982667038902492
StewieTheThird,0.0007451564828614009,0.0007451564828614009,5.556722467273683e-07,1.4571125037593655e-36,0.02608440033501224
dobiks,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
Cyberpunk_93,0.0014903129657228018,0.0014903129657228018,1.667016740182105e-06,1.995376464223242e-16,0.029036438220792847
thelawnranger,0.0007451564828614009,0.0,0.0,1.3573882264546624e-31,0.026352595396638593
TheInfected,0.0007451564828614009,0.0,0.0,1.4571125037593655e-36,0.02608440033501224
MaxFreedomMoussa,0.0022354694485842027,0.0022354694485842027,0.00080465971928179,7.836768799805511e-07,0.03253240344710822
JumpingJazzJam,0.0022354694485842027,0.0022354694485842027,0.003936826733614058,0.029616096885877744,0.03658891931990294
chukymeow,0.0007451564828614009,0.0,0.0,1.4571125037593655e-36,0.02608440033501224
LeFromageQc,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
reputable_opinion,0.0022354694485842027,0.0014903129657228018,5.556722467273683e-06,3.698536810771001e-16,0.031964279074722796
Mccalltx,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
Boozdeuvash,0.0007451564828614009,0.0007451564828614009,5.556722467273683e-07,1.4571125037593655e-36,0.02608440033501224
bigmaclt77,0.0007451564828614009,0.0,0.0,1.4571125037593655e-36,0.02608440033501224
dnLoL,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
godiebiel,0.0014903129657228018,0.0022354694485842027,0.0014710033551490257,7.0094540011217795e-06,0.029023439373679752
duhrew,0.0,0.0022354694485842027,0.0,2.512262937516149e-38,0.02371309121364749
chicofaraby,0.004470938897168405,0.0022354694485842027,0.0037602711384205484,0.056596779391947294,0.044248693222706706
thepotatoman23,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
warpus,0.0,0.0014903129657228018,0.0,2.512262937516149e-38,0.02371309121364749
mtw_,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
ForestKing,0.0007451564828614009,0.0,0.0,1.4571125037593655e-36,0.02608440033501224
epod96,0.0007451564828614009,0.0,0.0,4.155282898651708e-35,0.026321531247148717
belikralj,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
Infinitopolis,0.0007451564828614009,0.0,0.0,2.7938431677676098e-08,0.026710066772970352
IamCosmonaut,0.0007451564828614009,0.0014903129657228018,7.112604758110314e-05,0.00013282600728071925,0.027227042508733854
De_Facto,0.0037257824143070045,0.004470938897168405,0.005854516485498992,0.0002395963636213407,0.03986160646434984
TheTruthHurtsU,0.0007451564828614009,0.0,0.0,1.4571125037593655e-36,0.02608440033501224
crateguy,0.0029806259314456036,0.0037257824143070045,0.0005328155949786494,0.005262845801439516,0.036740255501903935
tacos_4_all,0.0014903129657228018,0.0022354694485842027,3.1673318063459996e-05,0.0001433884125438368,0.03091557673722334
khanfusion,0.0007451564828614009,0.0007451564828614009,0.0,3.62055245736142e-21,0.02634787912627499
Grendelpuss,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
spacedawg_ie,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
Let-Truth-Be-Told,0.0007451564828614009,0.0007451564828614009,0.0,3.62055245736142e-21,0.02634787912627499
SkillthoLaggins,0.0007451564828614009,0.0007451564828614009,0.0,1.4109442288722907e-16,0.026616735035726778
Roxfall,0.0,0.0007451564828614009,0.0,2.512262937516149e-38,0.02371309121364749
hseldon10,0.0007451564828614009,0.0,0.0,1.217442619520325e-34,0.02679579307142167
