community,size
0,3
1,2
7,32
130,37
127,28
5,5
6,18
8,4
9,10
68,44
11,9
19,36
131,31
14,2
15,54
90,32
17,2
18,2
20,2
21,13
22,2
24,27
25,6
26,2
59,51
29,2
30,3
31,2
32,38
173,39
34,2
64,27
36,2
37,2
38,2
39,2
40,10
42,2
43,2
44,2
45,2
52,23
47,9
48,4
164,27
51,3
53,3
121,34
57,2
60,2
63,2
65,2
66,10
67,2
69,3
71,2
72,3
73,2
75,2
76,3
77,6
82,34
79,2
198,17
81,2
83,2
84,2
85,2
86,2
87,2
89,2
91,2
92,9
207,28
95,3
96,9
97,2
98,2
99,2
100,2
101,9
102,4
103,2
104,3
105,2
106,2
107,2
109,2
110,2
111,2
112,4
113,2
114,7
115,24
116,9
117,3
118,6
119,2
122,2
124,2
125,5
126,3
128,2
129,3
143,14
133,2
134,2
135,2
137,2
139,2
141,2
142,5
144,3
146,3
147,2
148,7
149,3
150,4
151,4
152,5
153,2
154,3
155,10
156,2
158,2
159,2
160,2
161,3
162,2
163,2
165,2
166,2
167,2
168,2
169,3
171,4
175,4
176,2
177,3
179,2
180,4
181,2
182,2
183,5
184,2
185,2
186,3
188,2
189,2
190,2
191,2
192,2
194,2
195,2
196,2
197,2
199,2
200,2
201,2
202,2
203,2
204,2
206,2
208,5
209,3
210,2
211,2
212,2
213,3
214,2
215,3
216,2
217,2
218,2
219,5
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
229,2
230,3
231,2
232,2
233,5
234,8
235,3
236,2
237,4
238,2
239,2
240,3
241,4
242,2
243,3
244,2
245,2
246,2
247,2
248,2
249,2
93,3
94,2
228,2
108,2
120,2
123,2
2,2
3,2
4,2
132,2
136,2
10,2
138,3
12,2
13,2
140,2
16,2
145,2
23,2
27,2
28,2
157,2
33,2
35,2
41,3
170,2
172,3
46,2
174,2
49,2
50,2
178,2
54,2
55,2
56,2
58,2
187,2
61,2
62,3
193,2
70,2
74,2
205,3
78,2
80,2
88,2
